solution  7 Queen (7 * 7)
 Information:   
 1-Population:  500 
 2-Crossover:  0.8 
 3-Mutation :  0.2 
 4-Run:  20000

 [7, 4, 1, 5, 2, 6, 3]
[5, 7, 2, 6, 3, 1, 4]
[2, 5, 1, 4, 7, 3, 6]
[2, 4, 1, 7, 5, 3, 6]
[2, 4, 6, 1, 3, 5, 7]
[1, 4, 7, 3, 6, 2, 5]
[5, 1, 4, 7, 3, 6, 2]
[4, 6, 1, 3, 5, 7, 2]
[2, 6, 3, 7, 4, 1, 5]
[6, 4, 2, 7, 5, 3, 1]
[6, 3, 7, 4, 1, 5, 2]
[1, 3, 5, 7, 2, 4, 6]
[1, 5, 2, 6, 3, 7, 4]
[4, 7, 5, 2, 6, 1, 3]
[4, 1, 5, 2, 6, 3, 7]
[4, 1, 3, 6, 2, 7, 5]
[5, 2, 6, 3, 7, 4, 1]
[3, 7, 2, 4, 6, 1, 5]
[2, 5, 7, 4, 1, 3, 6]
[6, 2, 5, 1, 4, 7, 3]
[2, 7, 5, 3, 1, 6, 4]
[5, 3, 1, 6, 4, 2, 7]
[6, 1, 3, 5, 7, 2, 4]
[3, 5, 7, 2, 4, 6, 1]
[7, 5, 3, 1, 6, 4, 2]
[2, 5, 3, 1, 7, 4, 6]
[4, 2, 7, 5, 3, 1, 6]
[3, 7, 4, 1, 5, 2, 6]
[5, 7, 2, 4, 6, 1, 3]
[3, 1, 6, 4, 2, 7, 5]
[3, 1, 6, 2, 5, 7, 4]
[7, 2, 4, 6, 1, 3, 5]
[3, 6, 2, 5, 1, 4, 7]
[6, 3, 1, 4, 7, 5, 2]
[7, 3, 6, 2, 5, 1, 4]
[4, 7, 3, 6, 2, 5, 1]
[6, 4, 7, 1, 3, 5, 2]
[1, 6, 4, 2, 7, 5, 3]
[5, 1, 6, 4, 2, 7, 3]
